guests,Price_Night,Value_rate,amenities_count
6.0,144.0,4.7,28.0
2.0,64.0,4.7,20.0
8.0,150.0,4.3,29.0
2.0,77.0,4.5,24.0
6.0,181.0,4.8,50.0
2.0,54.0,4.9,40.0
4.0,143.0,4.8,59.0
1.0,56.0,4.8,43.0
2.0,86.0,4.6,33.0
3.0,152.0,4.7,66.0
4.0,98.0,4.7,49.0
10.0,795.0,4.8,34.0
9.0,312.0,4.6,32.0
2.0,34.0,4.9,13.0
4.0,180.0,4.5,34.0
8.0,119.0,4.5,38.0
4.0,151.0,4.7,50.0
4.0,130.0,4.6,28.0
6.0,143.0,5.0,45.0
16.0,581.0,4.7,69.0
8.0,739.0,4.8,49.0
2.0,117.0,4.7,20.0
4.0,165.0,4.8,46.0
4.0,121.0,4.7,32.0
2.0,108.0,4.7,29.0
4.0,129.0,4.6,31.0
4.0,240.0,4.8,33.0
2.0,78.0,4.9,54.0
4.0,113.0,4.8,38.0
6.0,80.0,4.7,24.0
4.0,104.0,4.3,29.0
